iter	Passed	Remaining
0	1	765
1	3	722
2	5	704
3	7	703
4	8	694
5	10	688
6	12	680
7	13	674
8	15	670
9	17	664
10	18	661
11	20	656
12	22	669
13	24	675
14	26	678
15	28	677
16	29	672
17	31	668
18	33	662
19	34	659
20	36	656
21	38	657
22	39	655
23	41	654
24	43	652
25	45	649
26	46	646
27	48	643
28	50	641
29	51	637
30	53	635
31	55	633
32	56	631
33	58	629
34	60	626
35	61	624
36	63	621
37	64	619
38	66	616
39	68	614
40	69	612
41	71	610
42	73	607
43	74	605
44	76	603
45	78	601
46	79	599
47	81	598
48	83	596
49	84	594
50	86	593
51	88	590
52	90	589
53	91	587
54	93	585
55	95	583
56	96	582
57	98	581
58	100	580
59	102	578
60	103	576
61	105	575
62	107	573
63	108	571
64	110	568
65	111	566
66	113	564
67	115	562
68	116	560
69	118	559
70	120	557
71	122	556
72	123	554
73	125	552
74	127	550
75	128	549
76	130	547
77	132	545
78	133	543
79	135	541
80	137	539
81	138	538
82	140	536
83	142	534
84	143	533
85	145	532
86	147	530
87	149	528
88	150	527
89	152	526
90	154	524
91	156	523
92	157	521
93	159	520
94	161	518
95	163	516
96	164	514
97	166	512
98	168	512
99	170	510
100	171	508
101	173	506
102	175	504
103	176	502
104	178	501
105	180	499
106	181	497
107	183	496
108	185	494
109	186	492
110	188	490
111	190	489
112	191	487
113	193	485
114	195	483
115	196	481
116	198	480
117	200	479
118	202	477
119	203	475
120	205	474
121	207	472
122	208	470
123	210	468
124	212	466
125	213	465
126	215	463
127	217	461
128	219	460
129	220	458
130	222	456
131	224	455
132	225	453
133	227	451
134	229	449
135	230	447
136	232	447
137	234	445
138	236	444
139	238	442
140	240	440
141	241	439
142	243	437
143	245	435
144	246	433
145	248	432
146	250	430
147	252	429
148	253	427
149	255	425
150	257	423
151	258	422
152	260	420
153	262	418
154	263	416
155	265	415
156	267	413
157	269	412
158	270	410
159	272	408
160	273	406
161	275	404
162	277	402
163	278	401
164	280	399
165	282	397
166	283	395
167	285	394
168	286	392
169	288	390
170	290	388
171	291	386
172	293	385
173	295	383
174	297	381
175	298	380
176	300	378
177	302	376
178	303	375
179	305	373
180	307	371
181	308	369
182	310	368
183	312	366
184	313	364
185	315	363
186	317	361
187	318	359
188	320	357
189	322	356
190	323	354
191	325	352
192	327	350
193	329	349
194	330	347
195	332	346
196	334	344
197	335	342
198	337	340
199	339	339
200	340	337
201	342	335
202	344	334
203	346	332
204	347	330
205	349	329
206	351	327
207	353	325
208	354	324
209	356	322
210	358	321
211	360	319
212	362	318
213	364	316
214	365	314
215	367	313
216	369	311
217	370	309
218	372	307
219	374	306
220	376	304
221	377	302
222	379	301
223	381	299
224	382	297
225	384	295
226	386	294
227	387	292
228	389	290
229	391	289
230	393	287
231	394	285
232	396	284
233	398	282
234	399	280
235	401	278
236	403	277
237	405	275
238	407	274
239	409	272
240	410	271
241	412	269
242	414	267
243	416	265
244	417	264
245	419	262
246	421	260
247	422	259
248	424	257
249	426	255
250	428	254
251	429	252
252	431	250
253	433	249
254	434	247
255	436	245
256	438	243
257	439	242
258	441	240
259	443	238
260	445	237
261	446	235
262	448	233
263	450	231
264	451	230
265	453	228
266	455	226
267	456	225
268	458	223
269	460	221
270	462	220
271	463	218
272	465	216
273	467	214
274	468	213
275	470	211
276	472	209
277	473	207
278	475	206
279	477	204
280	478	202
281	480	201
282	482	199
283	483	197
284	485	195
285	487	194
286	488	192
287	490	190
288	492	189
289	493	187
290	495	185
291	497	183
292	498	182
293	500	180
294	501	178
295	503	176
296	505	175
297	506	173
298	508	171
299	510	170
300	512	168
301	513	166
302	515	165
303	517	163
304	518	161
305	520	159
306	522	158
307	523	156
308	525	154
309	527	153
310	528	151
311	530	149
312	532	147
313	533	146
314	535	144
315	536	142
316	538	141
317	540	139
318	542	137
319	543	135
320	545	134
321	547	132
322	548	130
323	549	128
324	551	127
325	553	125
326	555	123
327	556	122
328	558	120
329	560	118
330	561	117
331	563	115
332	565	113
333	566	111
334	568	110
335	570	108
336	572	106
337	574	105
338	575	103
339	577	101
340	579	100
341	580	98
342	582	96
343	584	95
344	585	93
345	587	91
346	589	90
347	591	88
348	593	86
349	594	84
350	596	83
351	598	81
352	600	79
353	602	78
354	604	76
355	605	74
356	607	73
357	609	71
358	611	69
359	612	68
360	614	66
361	616	64
362	618	63
363	619	61
364	621	59
365	623	57
366	625	56
367	627	54
368	628	52
369	630	51
370	632	49
371	634	47
372	636	46
373	637	44
374	639	42
375	641	40
376	642	39
377	644	37
378	646	35
379	647	34
380	649	32
381	651	30
382	653	28
383	655	27
384	656	25
385	658	23
386	659	22
387	661	20
388	663	18
389	665	17
390	666	15
391	668	13
392	670	11
393	671	10
394	673	8
395	675	6
396	677	5
397	678	3
398	680	1
399	682	0
